Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Riyadh region,Riyadh,alsafa,20120660,6/6/2023,Residential,land,1,1233333,400.0,"3,083"
Qassim region,baridah,Al Hazm ,19737994,4/8/2023,Residential,land,1,508500,450.0,"1,130"
Medina region,AL Madinah,almabeuth,20059149,5/30/2023,Residential,land,1,890000,875.17,"1,017"
Makkah Region,Jeddah, Al-Zahraa ,20286475,6/26/2023,Residential,apartment,1,1350000,246.12,"5,485"
Riyadh region,Riyadh,Nazim,20821289,9/4/2023,Residential,land,1,820050,745.5,"1,100"
Riyadh region,Riyadh,Sulaymaniyah,20958036,9/16/2023,Residential,land,1,2054800,467.0,"4,400"
Makkah Region,Jeddah, Al-Rayyan ,20706379,8/22/2023,Residential,apartment,1,722820,214.36,"3,372"
Makkah Region,Jeddah, Al-Waha ,19808979,4/25/2023,Residential,apartment,1,519000,173.67,"2,988"
Eastern Region,alkhabar, alsudfa ,20070447,5/31/2023,Residential,land,1,2400400,600.1,"4,000"
Riyadh region,Riyadh,Mahdia,20386866,7/13/2023,Residential,land,1,1300000,400.0,"3,250"
Medina region,AL Madinah,Al-Azizia ,20190826,6/18/2023,Residential,land,1,911000,515.0,"1,769"
Riyadh region,Riyadh,alnarjis,20764675,8/28/2023,Residential,land,1,3500000,360.0,"9,722"
Riyadh region,Riyadh,East of Riyadh,20703477,8/21/2023,Residential,land,1,475000,900.0,528
Eastern Region,Jubail, alsafa,20254786,6/21/2023,Residential,land,1,770000,126.69,"6,078"
Eastern Region,Dammam, aleadama ,20584297,8/7/2023,Residential,land,1,800000,325.07,"2,461"
Eastern Region,Dammam, Al-Shuala ,20662162,8/16/2023,Residential,land,1,1243753,949.43,"1,310"
Riyadh region,Riyadh,alsalam,20923850,9/12/2023,Residential,land,1,1225000,350.0,"3,500"
Riyadh region,Riyadh,Nazim,20417817,7/18/2023,Residential,land,1,200000,476.0,420
Riyadh region,Riyadh,Munsiyah,20124884,6/6/2023,Residential,apartment,1,740000,112.66,"6,568"
Riyadh region,Al Kharj, Al-Qitar ,20196762,6/16/2023,Residential,house,1,100000,380.48,263
Eastern Region,Hasa,Hajar,20714237,8/22/2023,Residential,land,1,150000,390.0,385
Makkah Region,Jeddah,Al-Basateen,21062633,9/27/2023,Residential,land,1,950000,348.75,"2,724"
Hail region,Hail,Montazah ,20662256,8/16/2023,Residential,land,1,314326,405.0,776
Riyadh region,Riyadh,Al Mursalat,20424311,7/19/2023,Residential,land,1,758333,177.0,"4,284"
Riyadh region,Riyadh,alnarjis,20200974,6/18/2023,Residential,land,1,1440000,300.0,"4,800"
Riyadh region,Riyadh,Jasmine,20037497,5/28/2023,Residential,apartment,1,829000,110.85,"7,479"
Makkah Region,Jeddah, Al-Awija ,19800594,4/17/2023,Residential,land,1,270000,864.0,313
Eastern Region,Hafar Al-Batin, Qurtuba ,19795058,4/16/2023,Residential,land,1,271000,750.0,361
Asir region,ahid rafidah,Al-Azizia ,19841666,5/3/2023,Residential,land,1,500000,618.6,808
Makkah Region,Jeddah, Al-Marwa ,20486282,7/26/2023,Residential,apartment,1,445000,129.0,"3,450"
Riyadh region,Riyadh,alnarjis,20816268,9/3/2023,Residential,land,1,3250000,260.0,"12,500"
Riyadh region,Riyadh, alnukhba ,20293368,7/3/2023,Residential,land,1,390000,900.0,433
Makkah Region,Jeddah, Al-Waha ,20484907,7/26/2023,Residential,apartment,1,590000,179.5,"3,287"
Riyadh region,Riyadh,Andalusia,20435883,7/20/2023,Residential,apartment,1,594000,100.0,"5,940"
Riyadh region,Riyadh,East of Riyadh,19882742,5/9/2023,Residential,land,1,260000,750.0,347
Riyadh region,Riyadh, Al-Sahab ,20967493,9/17/2023,Residential,land,1,120900,300.0,403
Eastern Region,Dammam, Al Nada ,19699286,4/3/2023,Residential,land,1,400000,700.0,571
Makkah Region,Jeddah,Al-Hamdaniya ,20218343,6/19/2023,Residential,land,1,1300000,360.0,"3,611"
Riyadh region,Riyadh,Al-Janadriyah,20128847,6/7/2023,Residential,land,1,740000,291.87,"2,535"
Makkah Region,Makkah,Al-Azizia,20892242,9/10/2023,Residential,apartment,1,1939200,126.6,"15,318"
Hail region,Hail, Al-Wadi ,20005467,5/23/2023,Residential,land,1,124000,400.0,310
Riyadh region,Riyadh,Andalusia,20343401,7/10/2023,Residential,apartment,1,500000,110.08,"4,542"
Riyadh region,Riyadh,alnarjis,20681995,8/19/2023,Residential,apartment,1,880000,156.64,"5,618"
Riyadh region,Riyadh, Al-Wisam ,20952108,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Malqa,19880655,5/8/2023,Residential,apartment,1,1300000,115.87,"11,219"
Riyadh region,Riyadh,Dekna,20693957,8/20/2023,Residential,apartment,1,366000,128.1,"2,857"
Makkah Region,Jeddah, Rawda ,20635191,8/13/2023,Residential,apartment,1,300000,128.74,"2,330"
Makkah Region,Jeddah, alwurud ,19993129,5/22/2023,Residential,apartment,1,1165999,196.65,"5,929"
Riyadh region,Riyadh,Al-Malqa,19844331,5/3/2023,Residential,apartment,1,1027115,129.34,"7,941"
Eastern Region,Qatif, Saihat ,19598441,4/6/2023,Residential,land,1,224999,131.8,"1,707"
Riyadh region,Riyadh,Al-Yamamah,20026287,5/26/2023,Residential,land,1,91000,79.12,"1,150"
Riyadh region,Riyadh,Laban,20422242,7/19/2023,Residential,land,1,1430000,360.0,"3,972"
Riyadh region,Riyadh, Al-Wisam ,20955254,9/16/2023,Residential,land,1,173701,431.02,403
Al-Jawf region,Sakaka, Rahmaniyah ,20289164,7/1/2023,Residential,land,1,1500000,896.0,"1,674"
Qassim region,baridah, Al-Naqib ,19683254,4/1/2023,Residential,land,1,129000,406.0,318
Riyadh region,Riyadh,Sulaymaniyah,20178171,6/13/2023,Residential,land,1,1750000,200.1,"8,746"
Riyadh region,Hotat Bani Tamim, alsalam,20068232,6/4/2023,Residential,land,1,230000,620.0,371
Riyadh region,Riyadh,East of Riyadh,20631011,8/13/2023,Residential,land,1,200000,486.0,412
Riyadh region,Riyadh,Jasmine,20967010,9/17/2023,Residential,apartment,1,374095,165.33,"2,263"
Riyadh region,Riyadh,Qurtuba,19844502,5/3/2023,Residential,apartment,1,760000,128.12,"5,932"
Riyadh region,Riyadh,alnarjis,20200057,6/18/2023,Residential,land,1,1440000,300.0,"4,800"
Eastern Region,Hasa, askan alkilabayh,20092383,6/4/2023,Residential,land,1,100000,396.0,253
Qassim region,baridah, Al-Tayseer ,20662535,8/16/2023,Residential,land,1,159975,375.0,427
Eastern Region,Hasa,Hajar,20404742,7/17/2023,Residential,land,1,150000,250.0,600
Makkah Region,Jeddah, Al-Ghadeer  ,20132144,6/7/2023,Residential,land,1,310000,449.5,690
Qassim region,baridah, Al-Nakhil ,19737933,4/8/2023,Residential,apartment,1,200000,80.27,"2,492"
Asir region,Khamis Mushait, Al Wakba ,19741143,4/9/2023,Residential,house,1,140000,256.0,547
Makkah Region,Makkah, Alhambra ,20307862,7/5/2023,Residential,land,1,1450000,500.0,"2,900"
Makkah Region,Taif, Rehab ,20558726,8/3/2023,Residential,land,1,350000,500.0,700
Asir region,Mahayil Asir,  albasra ,19979903,5/21/2023,Residential,land,1,100000,550.51,182
Makkah Region,Jeddah, Al Sawari ,20829937,9/5/2023,Residential,apartment,1,698352,172.22,"4,055"
Qassim region,Riyadh Al-Khabara, Mohammedia ,20462034,7/24/2023,Residential,land,1,235567,994.2,237
Riyadh region,Riyadh, Al-Sahab ,20968102,9/17/2023,Residential,land,1,120900,300.0,403
Qassim region,baridah, aljazira ,19939886,5/16/2023,Residential,apartment,1,550000,187.94,"2,926"
Riyadh region,Riyadh,Al-Khair,19820008,5/3/2023,Residential,land,1,450000,423.75,"1,062"
Riyadh region,Riyadh,Al-Khair,19969045,5/18/2023,Residential,land,1,675000,420.19,"1,606"
Riyadh region,Riyadh,alsafa,20091044,6/3/2023,Residential,land,1,1381875,412.5,"3,350"
Eastern Region,alkhabar, alluwlu ,20397982,7/16/2023,Residential,land,1,2114412,480.0,"4,405"
Makkah Region,Makkah,Mecca,20203259,6/18/2023,Residential,apartment,1,555000,147.66,"3,759"
Jazan region,samitah,King Fahd,20944151,9/14/2023,Residential,land,1,320000,763.5,419
Riyadh region,Riyadh, Al-Wisam ,20952092,9/15/2023,Residential,land,1,120900,300.0,403
Makkah Region,Makkah, Shabika,20166551,6/11/2023,Residential,land,1,50000,84.07,595
Makkah Region,Jeddah, alsalama ,20109442,6/5/2023,Residential,apartment,1,1900000,190.66,"9,965"
Asir region,Abha,Abha Al-Sharaf,20608289,8/9/2023,Residential,land,1,675057,522.7,"1,291"
Najran region,Najran, aljamiea ,20817948,9/4/2023,Residential,land,1,100000,820.0,122
Qassim region,baridah, Al-Rayyan ,20067425,5/31/2023,Residential,apartment,1,139000,65.55,"2,121"
Northern border region,tarif, alwurud ,20092937,6/4/2023,Residential,apartment,1,162898,120.17,"1,356"
Makkah Region,bahruh, Bahra ,20204045,6/18/2023,Residential,land,1,550000,650.0,846
Riyadh region,Riyadh,Tuwaiq,20560896,8/3/2023,Residential,land,1,780000,390.0,"2,000"
Riyadh region,Riyadh, Al-Wisam ,20955454,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Mohammedia,21001241,9/20/2023,Residential,villa,1,12850000,762.12,"16,861"
Qassim region,baridah, Salhiya  ,20449035,7/23/2023,Residential,land,1,270000,113.51,"2,379"
Qassim region,baridah,alshaqa,20579206,8/6/2023,Residential,land,1,125000,312.5,400
Riyadh region,Al Kharj, Yarmouk ,19750440,4/10/2023,Residential,land,1,100000,600.0,167
Makkah Region,Taif, Alsiri,19841200,5/3/2023,Residential,land,1,258000,600.0,430
Makkah Region,Jeddah, Nozha ,21042241,9/26/2023,Residential,apartment,1,273609,93.3,"2,933"
Riyadh region,Riyadh,Badr,20080794,6/1/2023,Residential,land,1,319140,354.6,900
Jazan region,Jizan, Suez 2 ,20541384,8/2/2023,Residential,apartment,1,323829,124.12,"2,609"
Asir region,Abha, Mahalla,20915926,9/12/2023,Residential,land,1,850000,735.0,"1,156"
Qassim region,baridah, Al-Nafal ,20338982,7/10/2023,Residential,land,1,1000000,944.3,"1,059"
Makkah Region,Jeddah,Durrat Al-Arous,19746942,4/10/2023,Residential,land,1,2310000,550.0,"4,200"
Makkah Region,Jeddah, Al-Nakhil ,20696689,8/21/2023,Residential,apartment,1,550117,131.1,"4,196"
Makkah Region,Makkah,Wadi Jalil,20799800,8/31/2023,Residential,land,1,800000,468.98,"1,706"
Riyadh region,Riyadh,alsaeada,20180846,6/13/2023,Residential,land,1,768750,307.5,"2,500"
Riyadh region,Riyadh,Al-Khair,20181256,6/13/2023,Residential,land,1,1300000,917.33,"1,417"
Eastern Region,alkhabar,Al-Azizia ,20928656,9/13/2023,Residential,apartment,1,250000,213.57,"1,171"
Eastern Region,Al-Hofuf,Hofuf,19944462,5/16/2023,Residential,land,1,300000,420.0,714
Eastern Region,Dammam, Qasr alkhalij ,20974593,9/18/2023,Residential,land,1,897000,390.0,"2,300"
Najran region,Najran,alsharafuh aljanubiih a,20868777,9/8/2023,Residential,land,1,1000000,738.0,"1,355"
Makkah Region,Taif, Al-Wisam ,20485696,7/26/2023,Residential,apartment,1,500000,203.75,"2,454"
Qassim region,baridah, Al-Tayseer ,20968854,9/18/2023,Residential,land,1,112500,375.0,300
Riyadh region,Riyadh,East of Riyadh,20703988,8/21/2023,Residential,land,1,300000,750.0,400
Eastern Region,Al-Hofuf,alhizam alakhdar,19851072,5/7/2023,Residential,land,1,680000,600.0,"1,133"
Qassim region,baridah,North Buraydah,20175103,6/13/2023,Residential,land,1,80000,500.0,160
Makkah Region,Jeddah, Riyadh ,20099823,6/4/2023,Residential,land,1,570000,625.0,912
Riyadh region,Riyadh,Al-Khair,20703651,8/21/2023,Residential,land,1,750000,468.0,"1,603"
Riyadh region,Riyadh,alrimal,20757628,8/28/2023,Residential,land,1,867117,294.0,"2,949"
Riyadh region,Riyadh,Al-Morouj,19984683,5/21/2023,Residential,apartment,1,965000,126.65,"7,619"
Riyadh region,Riyadh,Al Hazm,20698297,8/21/2023,Residential,apartment,1,500000,167.73,"2,981"
Eastern Region,Dammam, tayiba ,20267930,6/22/2023,Residential,apartment,1,330000,206.95,"1,595"
Jazan region,Jizan, Al-Maabouj ,19873978,5/8/2023,Residential,land,1,100000,385.63,259
Makkah Region,Jeddah, Salhiya  ,19854450,5/7/2023,Residential,land,1,1000000,250.0,"4,000"
Makkah Region,Jeddah,Rabwa,19683424,4/2/2023,Residential,apartment,1,500000,149.16,"3,352"
Riyadh region,Riyadh,Al Rawabi,19703174,4/4/2023,Residential,apartment,1,584742,188.06,"3,109"
Makkah Region,Jeddah, Rahmaniyah ,19973810,5/20/2023,Residential,land,1,350000,287.5,"1,217"
Riyadh region,Hotat Bani Tamim, alsalam,20077336,6/1/2023,Residential,land,1,95000,630.0,151
Riyadh region,Riyadh,alnarjis,20172331,6/12/2023,Residential,land,1,1755000,450.0,"3,900"
Riyadh region,Riyadh,Al-Khair,19933992,5/15/2023,Residential,land,1,725000,615.0,"1,179"
Makkah Region,Jeddah, Al-Waha ,20737349,8/24/2023,Residential,apartment,1,377000,120.75,"3,122"
Hail region,Hail, Al-Wadi ,19782423,4/13/2023,Residential,land,1,121452,379.54,320
Riyadh region,Riyadh, Al-Wisam ,20955755,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Shifa,20227593,6/20/2023,Residential,land,1,500000,312.5,"1,600"
Riyadh region,Riyadh,Al-Mughrazat,20408265,7/17/2023,Residential,apartment,1,1040000,125.61,"8,280"
Makkah Region,Jeddah, Al-Marwa ,20070834,5/31/2023,Residential,apartment,1,430000,131.13,"3,279"
Najran region,Najran, Rawda ,19764057,4/16/2023,Residential,land,1,100000,675.0,148
Riyadh region,Riyadh,Tuwaiq,20431399,7/20/2023,Residential,apartment,1,450000,116.31,"3,869"
Makkah Region,Jeddah, alyaqut ,20428014,7/19/2023,Residential,land,1,1500000,620.5,"2,417"
Riyadh region,Riyadh, Arqa ,20791111,8/31/2023,Residential,apartment,1,1450000,118.53,"12,233"
Riyadh region,Riyadh, Al-Wisam ,20955426,9/16/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Alhambra  5 ,20288697,6/29/2023,Residential,land,1,1700000,420.0,"4,048"
Riyadh region,Riyadh,alsafa,20805781,9/2/2023,Residential,land,1,990000,300.0,"3,300"
Qassim region,baridah, Al-Lasib ,20228287,6/20/2023,Residential,land,1,100000,427.5,234
Makkah Region,Jeddah, Al-Manar ,20181394,6/13/2023,Residential,land,1,2169235,337.5,"6,427"
Riyadh region,Riyadh,King Fahd,20013904,5/24/2023,Residential,land,1,1400000,350.0,"4,000"
Eastern Region,Abqaiq,qartabuh,20557813,8/3/2023,Residential,land,1,50000,407.5,123
Riyadh region,Riyadh, Al-Wisam ,20953139,9/15/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Umm Al-Hamam,19900731,5/10/2023,Residential,land,1,600000,150.0,"4,000"
Riyadh region,Riyadh,Tuwaiq,20594599,8/8/2023,Residential,land,1,406834,229.35,"1,774"
Riyadh region,Riyadh,Al-Uraija,20478293,7/26/2023,Residential,land,1,400000,380.0,"1,053"
Makkah Region,Jeddah,Al Bawadi,19894696,5/14/2023,Residential,land,1,4600000,562.5,"8,178"
Medina region,AL Madinah,Al-Aqoul,20688422,8/20/2023,Residential,land,1,100000,270.0,370
Makkah Region,Taif, Rehab ,19690719,4/2/2023,Residential,land,1,625000,1202.93,520
Asir region,Abha, Mahalla,20529337,7/31/2023,Residential,land,1,400000,600.0,667
Riyadh region,Riyadh, Al-Wisam ,20967787,9/17/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,King Salman,20796002,8/31/2023,Residential,apartment,1,1499000,139.6,"10,738"
Jazan region,Jizan, Muhammadiyah ,20119882,6/6/2023,Residential,apartment,1,511491,172.76,"2,961"
Riyadh region,Al Kharj, Granada ,20178849,6/13/2023,Residential,apartment,1,350000,264.31,"1,324"
Eastern Region,Al-Hofuf, alwurud ,20945501,9/14/2023,Residential,land,1,300000,676.4,444
Qassim region,baridah, Al-Manar ,20299015,7/4/2023,Residential,land,1,800000,312.5,"2,560"
Qassim region,Onaizah, Al Rawabi ,20174965,6/13/2023,Residential,land,1,125000,300.0,417
Makkah Region,Makkah,Batha Quraish City approved,19984971,5/21/2023,Residential,apartment,1,725000,181.57,"3,993"
Riyadh region,Riyadh,Manfuha,20827364,9/4/2023,Residential,land,1,550000,220.4,"2,495"
Riyadh region,Riyadh,alsuwaydaa,20032503,5/28/2023,Residential,land,1,830000,525.0,"1,581"
Riyadh region,Riyadh,Badr,19891693,5/9/2023,Residential,land,1,620500,730.0,850
Riyadh region,Riyadh,Al-Khair,19890505,5/9/2023,Residential,land,1,900000,838.65,"1,073"
Eastern Region,Dammam, Al-Shuala ,20686527,8/20/2023,Residential,land,1,890899,618.68,"1,440"
Qassim region,baridah,Al-Qadisiyah,19685494,4/2/2023,Residential,land,1,282919,404.17,700
Riyadh region,Riyadh,East of Riyadh,20798602,8/31/2023,Residential,land,1,370000,900.0,411
Makkah Region,Jeddah, Miriykh ,20650261,8/15/2023,Residential,apartment,1,390878,106.36,"3,675"
Eastern Region,Dammam, Nahda ,20967641,9/17/2023,Residential,apartment,1,850000,191.1,"4,448"
Eastern Region,Jubail, Alhambra ,20486756,7/26/2023,Residential,land,1,652000,652.0,"1,000"
Makkah Region,Jeddah, Al-Marwa ,19915321,5/13/2023,Residential,apartment,1,460000,135.56,"3,393"
Riyadh region,Riyadh,Al Hazm,21086191,9/28/2023,Residential,land,1,1250000,300.0,"4,167"
Qassim region,baridah,alshaqa,20609901,8/9/2023,Residential,land,1,125000,312.5,400
Qassim region,Albadayie, Rawda ,20020669,5/25/2023,Residential,land,1,165000,600.0,275
Riyadh region,Riyadh,Al-Aqiq,20018371,5/25/2023,Residential,land,1,13552425,934.65,"14,500"
Riyadh region,Riyadh,Tuwaiq,20076688,6/1/2023,Residential,apartment,1,600000,206.78,"2,902"
Northern border region,Arar,King Fahd,20187999,6/14/2023,Residential,land,1,130000,630.0,206
Najran region,Najran, aljamiea ,20752116,8/27/2023,Residential,land,1,200000,820.0,244
Riyadh region,Riyadh,East of Riyadh,20012523,5/24/2023,Residential,land,1,225000,750.0,300
Riyadh region,Riyadh,Munsiyah,19701076,4/3/2023,Residential,apartment,1,719000,139.52,"5,153"
Jazan region,Jizan, almawada ,19829839,5/1/2023,Residential,land,1,429800,614.87,699
Riyadh region,Riyadh,Qurtuba,20665816,8/16/2023,Residential,apartment,1,1300000,134.39,"9,673"
Makkah Region,Rabigh, alnaeim ,19838868,5/3/2023,Residential,land,1,230000,722.75,318
Riyadh region,Riyadh,Jasmine,20656948,8/15/2023,Residential,apartment,1,787000,126.86,"6,204"
Hail region,Hail, Al-Qaeda ,19853731,5/7/2023,Residential,land,1,100000,800.0,125
Riyadh region,Riyadh, almushriq ,20097995,6/4/2023,Residential,land,1,460000,900.0,511
Hail region,Hail,King Fahd,19845236,5/4/2023,Residential,land,1,250000,737.05,339
Tabuk region,Tabuk,Al-Qadisiyah,21064456,9/27/2023,Residential,apartment,1,1048446,253.91,"4,129"
Qassim region,Onaizah,King Fahd,19940761,5/16/2023,Residential,land,1,200000,487.5,410
Makkah Region,Jeddah, Al-Manar ,19889514,5/9/2023,Residential,land,1,1550000,875.0,"1,771"
Riyadh region,Riyadh, Al-Wisam ,20952009,9/15/2023,Residential,land,1,120900,300.0,403
Eastern Region,Dammam,North Rakah,20936094,9/13/2023,Residential,land,1,2000020,875.0,"2,286"
Makkah Region,Taif, Al-Hada ,20343847,7/10/2023,Residential,land,1,500000,279.08,"1,792"
Qassim region,Albkirih,Bukayriyah,20823958,9/4/2023,Residential,land,1,106000,660.0,161
Riyadh region,Riyadh,alnarjis,19755565,4/10/2023,Residential,land,1,1750000,450.0,"3,889"
Riyadh region,Riyadh,alquds,19799773,4/16/2023,Residential,apartment,1,670000,100.57,"6,662"
Qassim region,Albkirih,Badr,20822232,9/4/2023,Residential,land,1,105000,630.0,167
Makkah Region,Jeddah, alwidad ,20933796,9/13/2023,Residential,land,1,330000,900.0,367
Riyadh region,Riyadh,Arid,19836357,5/2/2023,Residential,land,1,310000,450.0,689
Eastern Region,alkhabar,Amwaj,19705359,4/4/2023,Residential,land,1,900000,3000.0,300
Eastern Region,Hasa,Mahasen Aramco,20454537,7/23/2023,Residential,land,1,800000,643.34,"1,244"
Riyadh region,Riyadh,Nazim,20586028,8/7/2023,Residential,land,1,3000000,2500.0,"1,200"
Eastern Region,aleuyun, dahiat alamir sultan,20970696,9/18/2023,Residential,land,1,100000,400.0,250
Qassim region,baridah,North Buraydah,19931796,5/15/2023,Residential,land,1,258000,487.5,529
Riyadh region,Riyadh,East of Riyadh,19922606,5/14/2023,Residential,land,1,350000,750.0,467
Qassim region,Onaizah, Al-Shifa ,20501744,7/28/2023,Residential,land,1,100000,507.4,197
Riyadh region,Riyadh,Malaz,20128227,6/7/2023,Residential,land,1,830000,440.0,"1,886"
Makkah Region,Jeddah, Al-Rayyan ,20845393,9/6/2023,Residential,apartment,1,555000,172.82,"3,211"
Qassim region,almudhanab, almudhanib ,19723170,4/6/2023,Residential,land,1,61875,375.0,165
Makkah Region,Jeddah, Al Nada ,20170680,6/12/2023,Residential,land,1,300000,900.0,333
Riyadh region,Riyadh,Al-Khair,20757523,8/28/2023,Residential,land,1,550000,390.0,"1,410"
Eastern Region,aleuyun, Rabieh ,20397255,7/16/2023,Residential,land,1,335042,540.39,620
Makkah Region,Jeddah, Al-Waha ,20923119,9/12/2023,Residential,apartment,1,740000,202.87,"3,648"
Asir region,Abha,Al Ghalid,20282963,6/25/2023,Residential,land,1,630000,686.0,918
Makkah Region,Jeddah, aalmajd ,21011950,9/21/2023,Residential,land,1,170000,450.0,378
Eastern Region,Hasa,Hajar,20125262,6/6/2023,Residential,land,1,150000,432.53,347
Riyadh region,Riyadh,Dirab,20835124,9/5/2023,Residential,land,1,300000,310.0,968
